symbol,date,time,bid,ofr,bidsiz,ofrsiz,mode,ex,mmid
A,2022.02.20,9:42:09,38.38,38.41,2,4,12,'T',null
A,2022.02.20,9:42:09,38.4,38.41,1,4,12,'T',null
A,2022.02.20,9:42:09,38.38,38.41,2,3,12,'P',null
A,2022.02.20,9:42:09,38.38,38.41,1,3,12,'P',null
A,2022.02.20,9:42:09,38.38,38.41,1,3,12,'I',null
A,2022.02.20,9:42:09,38.39,38.42,3,1,12,'N',null
A,2022.02.20,9:42:09,38.39,38.42,2,1,12,'N',null
A,2022.02.20,9:42:09,38.39,38.43,2,2,12,'N',null
A,2022.02.20,9:42:10,38.39,38.42,2,1,12,'N',null
A,2022.02.20,9:42:11,38.38,38.41,2,4,12,'T',null
A,2022.02.20,9:42:11,38.4,38.41,1,4,12,'T',null
A,2022.02.20,9:42:11,38.38,38.41,2,4,12,'T',null
A,2022.02.20,9:42:11,38.4,38.41,1,4,12,'T',null
A,2022.02.20,9:42:11,38.39,38.41,2,1,12,'N',null
A,2022.02.20,9:42:11,38.38,38.41,2,4,12,'T',null
A,2022.02.20,9:42:11,38.4,38.41,1,4,12,'T',null
A,2022.02.20,9:42:11,38.38,38.41,2,4,12,'T',null
A,2022.02.20,9:42:12,38.4,38.41,1,4,12,'T',null
A,2022.02.20,9:42:12,38.38,38.41,2,4,12,'T',null
A,2022.02.20,9:42:12,38.4,38.41,1,4,12,'T',null
A,2022.02.20,9:42:13,38.38,38.41,2,4,12,'T',null
A,2022.02.20,9:42:13,38.4,38.41,1,4,12,'T',null
A,2022.02.20,9:42:13,38.38,38.43,1,1,12,'I',null
A,2022.02.20,9:42:13,38.38,38.42,1,2,12,'P',null
A,2022.02.20,9:42:13,38.4,38.41,1,1,12,'T',null
A,2022.02.20,9:42:14,38.39,38.42,2,1,12,'N',null
A,2022.02.20,9:42:18,38.4,38.41,1,1,12,'T',null
A,2022.02.20,9:42:18,38.39,38.41,2,1,12,'N',null
A,2022.02.20,9:42:18,38.38,38.41,2,1,12,'T',null
A,2022.02.20,9:42:18,38.4,38.41,1,1,12,'T',null
