symbol,date,time,bid,ofr,bidsiz,ofrsiz,mode,ex,mmid,ts
A,2022.02.20,09:41:24,38.39,38.439999999999997,1,2,12,'P',null,2022.02.20T14:41:24
A,2022.02.20,09:41:24,38.399999999999998,38.429999999999999,15,11,12,'N',null,2022.02.20T14:41:24
A,2022.02.20,09:41:25,38.39,38.420000000000001,1,2,12,'P',null,2022.02.20T14:41:25
A,2022.02.20,09:41:25,38.399999999999998,38.429999999999999,12,11,12,'N',null,2022.02.20T14:41:25
A,2022.02.20,09:41:27,38.399999999999998,38.429999999999999,13,11,12,'N',null,2022.02.20T14:41:27
A,2022.02.20,09:41:28,38.399999999999998,38.420000000000001,1,3,12,'T',null,2022.02.20T14:41:28
A,2022.02.20,09:41:28,38.39,38.450000000000002,1,1,12,'I',null,2022.02.20T14:41:28
A,2022.02.20,09:41:28,38.399999999999998,38.420000000000001,13,1,12,'N',null,2022.02.20T14:41:28
A,2022.02.20,09:41:29,38.399999999999998,38.420000000000001,9,1,12,'N',null,2022.02.20T14:41:29
A,2022.02.20,09:41:29,38.39,38.420000000000001,1,3,12,'T',null,2022.02.20T14:41:29
A,2022.02.20,09:41:29,38.399999999999998,38.420000000000001,1,3,12,'T',null,2022.02.20T14:41:29
A,2022.02.20,09:41:29,38.39,38.439999999999997,1,1,12,'I',null,2022.02.20T14:41:29
A,2022.02.20,09:41:29,38.399999999999998,38.420000000000001,10,1,12,'N',null,2022.02.20T14:41:29
A,2022.02.20,09:41:30,38.399999999999998,38.420000000000001,10,2,12,'N',null,2022.02.20T14:41:30
A,2022.02.20,09:41:33,38.399999999999998,38.420000000000001,11,2,12,'N',null,2022.02.20T14:41:33
A,2022.02.20,09:41:34,38.399999999999998,38.409999999999996,11,1,12,'N',null,2022.02.20T14:41:34
A,2022.02.20,09:41:36,38.399999999999998,38.409999999999996,10,1,12,'N',null,2022.02.20T14:41:36
A,2022.02.20,09:41:37,38.399999999999998,38.409999999999996,7,1,12,'N',null,2022.02.20T14:41:37
